EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Incident,Technology,Fire,Non-Residential,Ottawa ON and Hull QC,4/26/1900 0:00,7,0,15000,,,4/26/1900 0:00,,,,,,,,0,0
Incident,Technology,Explosion,Non-Residential,Grand Forks BC,1/1/1901 0:00,64,0,0,,,1/1/1901 0:00,,,,,,,,0,0
Incident,Technology,Infrastructure failure,Manufacturing / Industry,Wellington BC,1/1/1901 0:00,16,0,0,,,1/1/1901 0:00,,,,,,,,0,0
Incident,Technology,Explosion,Non-Residential,Cranberry BC,1/1/1902 0:00,32,0,0,,,1/1/1902 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,3/1/1902 0:00,2,3,0,,,3/1/1902 0:00,,,,,,,,0,0
Incident,Technology,Explosion,Non-Residential,Fernie BC,5/22/1902 0:00,125,0,0,,,5/22/1902 0:00,,,,,,,,0,0
Incident,Technology,Explosion,Non-Residential,Grand Forks BC,1/1/1903 0:00,16,0,0,,,1/1/1903 0:00,,,,,,,,0,0
Disaster,Natural,Geological,Landslide,Frank AB,4/29/1903 0:00,70,,0,,,4/29/1903 0:00,,,,,,,,0,0
Incident,Technology,Explosion,Non-Residential,Carbonado BC,1/1/1904 0:00,14,0,0,,,1/1/1904 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Edmonton AB,9/1/1992 0:00,0,0,0,22522000,1608714.3,9/1/1992 0:00,,,14434443,,,8087557,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Calgary AB,7/17/1995 0:00,0,0,0,74559612,5106822.7,7/17/1995 0:00,,,18858612,,,55701000,,0,0
Disaster,Natural,Geological,Landslide,Upper Arrow Lake BC,2/28/1903 0:00,0,0,0,,,2/28/1903 0:00,,,,,,,,0,0
Incident,Technology,Fire,Non-Residential,Toronto ON,4/19/1904 0:00,0,0,0,,,4/19/1904 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Red River MB,4/24/1904 0:00,0,0,0,,,4/24/1904 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Nova Scotia,2/15/1905 0:00,0,0,0,,,2/17/1905 0:00,,,,,,,,0,0
Disaster,Natural,Geological,Landslide,Spences Bridge BC,8/13/1905 0:00,15,0,0,,,8/13/1905 0:00,,,,,,,,0,0
Incident,Technology,Transportation accident,Marine,Vancouver Island (BC),1/1/1906 0:00,126,0,0,,,1/1/1906 0:00,,,,,,,,0,0
Incident,Technology,Infrastructure failure,Transportation,Quebec City QC,8/29/1907 0:00,75,0,0,,,8/29/1907 0:00,,,,,,,,0,0
Disaster,Natural,Geological,Landslide,Notre-Dame-de-la-Salette QC,4/26/1908 0:00,33,0,0,,,4/26/1908 0:00,,,,,,,,0,0
Incident,Technology,Fire,Residential,Fernie BC,8/1/1908 0:00,100,0,6000,,,8/3/1908 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Chester NB,1/4/1909 0:00,1,0,0,,,1/4/1909 0:00,,,,,,,,0,0
Disaster,Natural,Geological,Landslide,Burnaby and New Westminster BC,11/28/1909 0:00,22,15,0,,,11/28/1909 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1910 0:00,0,0,0,0,0,1/1/1910 0:00,,,,,,,,0,0
Incident,Technology,Transportation accident,Rail,Spanish River ON,1/21/1910 0:00,63,20,0,,,1/21/1910 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Avalanche,Rogers Pass BC,3/5/1910 0:00,62,0,0,,,3/5/1910 0:00,,,,,,,,0,0
Disaster,Natural,Geological,Landslide,St-Alphonse-de-Bagotville QC,4/15/1910 0:00,4,0,0,,,4/15/1910 0:00,,,,,,,,0,0
Disaster,Natural,Geological,Landslide,Coucoucache QC,4/18/1910 0:00,6,0,0,,,4/18/1910 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Cochrane ON,7/11/1911 0:00,73,0,200,,,7/11/1911 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Regina SK,6/30/1912 0:00,28,100,2500,,,6/30/1912 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Heat Event,Eastern Canada,7/8/1912 0:00,3,0,0,,,7/10/1912 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Lakes Huron ... Erie and Ontario,11/7/1913 0:00,270,0,0,,,11/13/1913 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Newfoundland coast,1/1/1914 0:00,173,0,0,,,1/1/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1914 0:00,0,0,0,0,0,1/1/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Labrador,4/1/1914 0:00,77,0,0,,,4/1/1914 0:00,,,,,,,,0,0
Incident,Technology,Transportation accident,Marine,St. Lawrence River QC,5/28/1914 0:00,1024,0,0,,,5/28/1914 0:00,,,,,,,,0,0
Incident,Technology,Explosion,Non-Residential,Hillcrest AB,6/19/1914 0:00,189,48,0,,,6/19/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,North Saskatchewan River AB and SK,1/1/1915 0:00,0,0,2000,,,1/1/1915 0:00,,,,,,,,0,0
